,Year,Country,freedom,Protest_Name,Motivations,Peak_Size
6464,1994,Russia,Partly free,labor wage dispute,,> 50
6465,1994,Russia,Partly free,"political behavior, process",,> 23000
6466,1994,Russia,Partly free,"political behavior, process",,> 50
6467,1994,Russia,Partly free,"political behavior, process",,> 100000
6468,1995,Russia,Partly free,labor wage dispute,removal of politician,> 60000
6469,1995,Russia,Partly free,removal of politician,,Tens of thousands
6470,1995,Russia,Partly free,"political behavior, process",removal of politician,> 50
6471,1995,Russia,Partly free,"political behavior, process",,> 50
6472,1995,Russia,Partly free,"political behavior, process",,Tens of thousands
6473,1996,Russia,Partly free,"political behavior, process",removal of politician,Thousands 
6474,1996,Russia,Partly free,"political behavior, process",,> 50
6475,1996,Russia,Partly free,"political behavior, process",,1000
6476,1996,Russia,Partly free,"political behavior, process",,2000
6477,1996,Russia,Partly free,labor wage dispute,,> 50
6478,1996,Russia,Partly free,labor wage dispute,,> 400
6479,1997,Russia,Partly free,labor wage dispute,,millions
6480,1998,Russia,Partly free,labor wage dispute,,Tens of thousands
6481,1998,Russia,Partly free,labor wage dispute,,Tens of thousands
6482,1998,Russia,Partly free,labor wage dispute,,Thousands 
6483,1998,Russia,Partly free,labor wage dispute,,hundreds
6484,1998,Russia,Partly free,labor wage dispute,,Thousands 
6485,1998,Russia,Partly free,"political behavior, process",removal of politician,Thousands 
6486,1998,Russia,Partly free,"political behavior, process",,10000
6487,1999,Russia,Partly free,"political behavior, process",,>10000
6488,1999,Russia,Partly free,"political behavior, process",,10000
6489,2000,Russia,Partly free,"political behavior, process",,2000
6490,2000,Russia,Partly free,"political behavior, process",,200
6491,2000,Russia,Partly free,police brutality,"political behavior, process",>1000
6492,2001,Russia,Partly free,"political behavior, process",,20000
6493,2001,Russia,Partly free,"political behavior, process",,6500
6494,2001,Russia,Partly free,"political behavior, process",,1000
6495,2002,Russia,Partly free,"political behavior, process",,50
6496,2003,Russia,Partly free,"political behavior, process",,300
6497,2004,Russia,Not free,"political behavior, process",,1500
6498,2004,Russia,Not free,"political behavior, process",,>1000
6499,2004,Russia,Not free,removal of politician,,1000s
6500,2004,Russia,Not free,"political behavior, process",,10000s
6501,2004,Russia,Not free,removal of politician,,2000
6502,2005,Russia,Not free,"price increases, tax policy","political behavior, process",100s
6503,2005,Russia,Not free,"price increases, tax policy","political behavior, process",>15000
6504,2005,Russia,Not free,"political behavior, process",removal of politician,100s
6505,2005,Russia,Not free,"price increases, tax policy","political behavior, process",>5000
6506,2005,Russia,Not free,"price increases, tax policy","political behavior, process",100s
6507,2005,Russia,Not free,labor wage dispute,,150
6508,2005,Russia,Not free,"price increases, tax policy","political behavior, process",200000
6509,2005,Russia,Not free,"political behavior, process",removal of politician,200
6510,2005,Russia,Not free,"price increases, tax policy","political behavior, process",10000s
6511,2005,Russia,Not free,"political behavior, process",,300
6512,2005,Russia,Not free,"political behavior, process",,50
6513,2005,Russia,Not free,labor wage dispute,,1000000
6514,2006,Russia,Not free,"political behavior, process",,1000
6515,2006,Russia,Not free,"political behavior, process",,1000
6516,2006,Russia,Not free,"political behavior, process",,100s
6517,2006,Russia,Not free,"political behavior, process",removal of politician,>50
6518,2007,Russia,Not free,"political behavior, process",,1000s
6519,2007,Russia,Not free,"political behavior, process",,>50
6520,2007,Russia,Not free,"political behavior, process",,2000
6521,2007,Russia,Not free,"political behavior, process",police brutality,2000
6522,2007,Russia,Not free,"political behavior, process",,100s
6523,2007,Russia,Not free,"political behavior, process",,2000
6524,2007,Russia,Not free,"political behavior, process",,100s
6525,2008,Russia,Not free,"political behavior, process",,300
6526,2008,Russia,Not free,"political behavior, process",,>50
6527,2008,Russia,Not free,"political behavior, process",,100s
6528,2008,Russia,Not free,"price increases, tax policy",,1000
6529,2009,Russia,Not free,"political behavior, process",,1500-2000
6530,2009,Russia,Not free,"price increases, tax policy",,1000s
6531,2009,Russia,Not free,"political behavior, process",,100
6532,2009,Russia,Not free,"political behavior, process",,100
6533,2009,Russia,Not free,"political behavior, process","price increases, tax policy",5000
6534,2010,Russia,Not free,"political behavior, process",,300
6535,2010,Russia,Not free,"price increases, tax policy","political behavior, process",6000
6536,2010,Russia,Not free,"political behavior, process",,1000
6537,2010,Russia,Not free,"political behavior, process","price increases, tax policy",1000s
6538,2010,Russia,Not free,"political behavior, process",,300
6539,2010,Russia,Not free,"political behavior, process",,70
6540,2010,Russia,Not free,"political behavior, process",,2000
6541,2010,Russia,Not free,land farm issue,"political behavior, process",100s
6542,2010,Russia,Not free,land farm issue,,100
6543,2010,Russia,Not free,land farm issue,,2000
6544,2010,Russia,Not free,"political behavior, process",,400
6545,2010,Russia,Not free,"political behavior, process",,200
6546,2010,Russia,Not free,"political behavior, process",,1000
6547,2010,Russia,Not free,"political behavior, process",,100
6548,2010,Russia,Not free,"political behavior, process",,1000s
6549,2010,Russia,Not free,"political behavior, process",,100s
6550,2011,Russia,Not free,"political behavior, process",,100s
6551,2011,Russia,Not free,"political behavior, process",,500
6552,2011,Russia,Not free,"political behavior, process",,150
6553,2011,Russia,Not free,"political behavior, process",,50
6554,2011,Russia,Not free,"political behavior, process",,100s
6555,2011,Russia,Not free,"political behavior, process",,170
6556,2011,Russia,Not free,"political behavior, process",,1000s
6557,2011,Russia,Not free,"political behavior, process",,10000s
6558,2011,Russia,Not free,removal of politician,"political behavior, process",30000
6559,2011,Russia,Not free,"political behavior, process",,200
6560,2011,Russia,Not free,"political behavior, process",,100
6561,2012,Russia,Not free,"political behavior, process",,35000
6562,2012,Russia,Not free,"political behavior, process",,11000
6563,2012,Russia,Not free,"political behavior, process",,30000
6564,2012,Russia,Not free,"political behavior, process",,10000
6565,2012,Russia,Not free,"political behavior, process",,100
6566,2012,Russia,Not free,"political behavior, process",,55
6567,2012,Russia,Not free,"political behavior, process",,<500
6568,2012,Russia,Not free,"political behavior, process",,300-350
6569,2012,Russia,Not free,"political behavior, process",,1000
6570,2012,Russia,Not free,"political behavior, process",,500
6571,2012,Russia,Not free,"political behavior, process",,1000s
6572,2012,Russia,Not free,"political behavior, process",,8000
6573,2012,Russia,Not free,"political behavior, process",,100s
6574,2012,Russia,Not free,"political behavior, process",,10000
6575,2012,Russia,Not free,"political behavior, process",,1000
6576,2012,Russia,Not free,"political behavior, process",,18000
6577,2012,Russia,Not free,"political behavior, process",,>50
6578,2012,Russia,Not free,"political behavior, process",,14000
6579,2012,Russia,Not free,"political behavior, process",,2000
6580,2013,Russia,Not free,"political behavior, process",,20000
6581,2013,Russia,Not free,"political behavior, process",,>50
6582,2013,Russia,Not free,"political behavior, process",,100
6583,2013,Russia,Not free,"political behavior, process",,1000
6584,2013,Russia,Not free,"political behavior, process",,8000
6585,2013,Russia,Not free,"political behavior, process",,10000
6586,2013,Russia,Not free,"political behavior, process",,10000
6587,2013,Russia,Not free,"political behavior, process",,1000s
6588,2014,Russia,Not free,"political behavior, process",,60
6589,2014,Russia,Not free,"political behavior, process",,>213
6590,2014,Russia,Not free,"political behavior, process",,100s
6591,2014,Russia,Not free,"political behavior, process",police brutality,500
6592,2014,Russia,Not free,"political behavior, process",,100s
6593,2014,Russia,Not free,"political behavior, process",,50000-70000
6594,2014,Russia,Not free,"political behavior, process",,41000
6595,2014,Russia,Not free,"political behavior, process",labor wage dispute,>50
6596,2014,Russia,Not free,"political behavior, process",labor wage dispute,>5000
6597,2014,Russia,Not free,"political behavior, process",,1000s
6598,2015,Russia,Not free,"political behavior, process",,58000+
6599,2015,Russia,Not free,"political behavior, process",,100s
6600,2015,Russia,Not free,"political behavior, process",,1500
6601,2015,Russia,Not free,removal of politician,"political behavior, process",1000s
6602,2015,Russia,Not free,"price increases, tax policy",,100s
6603,2016,Russia,Not free,labor wage dispute,,>50
6604,2016,Russia,Not free,labor wage dispute,,>50
6605,2016,Russia,Not free,labor wage dispute,,at least 500
6606,2016,Russia,Not free,"price increases, tax policy",,hundreds
6607,2016,Russia,Not free,labor wage dispute,,about 100
6608,2016,Russia,Not free,"political behavior, process",,between 7500-25000
6609,2016,Russia,Not free,"political behavior, process",,hundreds
6624,2018,Russia,Not free,"political behavior, process",,thousands
6625,2018,Russia,Not free,land farm issue,,50
6626,2018,Russia,Not free,removal of politician,"political behavior, process",thousands
6627,2018,Russia,Not free,land farm issue,,several hundred
6628,2018,Russia,Not free,social restrictions,,50
6629,2018,Russia,Not free,social restrictions,,thousands
6630,2018,Russia,Not free,removal of politician,"political behavior, process",thousands
6631,2018,Russia,Not free,labor wage dispute,,50
6632,2018,Russia,Not free,police brutality,"political behavior, process",hundreds
6633,2018,Russia,Not free,labor wage dispute,removal of politician,thousands
6634,2018,Russia,Not free,labor wage dispute,removal of politician,thousands
6635,2019,Russia,Not free,land farm issue,,50
6636,2019,Russia,Not free,social restrictions,,thousands
6637,1993,Estonia,Free,"political behavior, process",,10000
6638,1998,Estonia,Free,"political behavior, process",,50
6639,1998,Estonia,Free,"political behavior, process",,> 50 < 100 
6640,1998,Estonia,Free,"political behavior, process",,hundreds
6641,1998,Estonia,Free,"political behavior, process",,> 50
6642,1999,Estonia,Free,police brutality,,200
6643,1999,Estonia,Free,labor wage dispute,,6000-8000
6644,1999,Estonia,Free,"political behavior, process",,500
6645,2000,Estonia,Free,labor wage dispute,,1000
6646,2000,Estonia,Free,police brutality,,300
6647,2000,Estonia,Free,"political behavior, process",,5000
6648,2000,Estonia,Free,"political behavior, process",,1000
6649,2000,Estonia,Free,"political behavior, process",,1500
6650,2000,Estonia,Free,"political behavior, process",,2000
6651,2000,Estonia,Free,"political behavior, process",labor wage dispute,<5000
6652,2001,Estonia,Free,"price increases, tax policy",,3000
6653,2001,Estonia,Free,labor wage dispute,,200
6654,2001,Estonia,Free,labor wage dispute,,800
6655,2001,Estonia,Free,social restrictions,,60
6656,2001,Estonia,Free,"price increases, tax policy",,>2000
6657,2002,Estonia,Free,"price increases, tax policy",,500
6658,2002,Estonia,Free,"political behavior, process",,50
6659,2002,Estonia,Free,"price increases, tax policy",,500
6660,2003,Estonia,Free,"political behavior, process",,700
6661,2003,Estonia,Free,"price increases, tax policy",,700
6662,2003,Estonia,Free,"political behavior, process",,100
6663,2003,Estonia,Free,labor wage dispute,,2500
6664,2005,Estonia,Free,"political behavior, process",,150
6665,2005,Estonia,Free,"political behavior, process",,2000
6666,2005,Estonia,Free,"price increases, tax policy",,600-700
6667,2005,Estonia,Free,"political behavior, process",,100
6668,2005,Estonia,Free,labor wage dispute,,100
6669,2006,Estonia,Free,"political behavior, process",,100
6670,2006,Estonia,Free,"political behavior, process",,100
6671,2006,Estonia,Free,"political behavior, process",,200
6672,2006,Estonia,Free,"political behavior, process",,200
6673,2006,Estonia,Free,"political behavior, process",,50
6674,2006,Estonia,Free,"political behavior, process",,50
6675,2006,Estonia,Free,"political behavior, process",,50
6676,2006,Estonia,Free,labor wage dispute,,100
6677,2007,Estonia,Free,"political behavior, process",,>1000
6678,2007,Estonia,Free,"political behavior, process",,100s
6679,2007,Estonia,Free,"political behavior, process",,100s
6680,2008,Estonia,Free,labor wage dispute,"political behavior, process",150
6681,2010,Estonia,Free,labor wage dispute,"political behavior, process",350-400
6682,2013,Estonia,Free,"price increases, tax policy",,>500
6683,2013,Estonia,Free,"price increases, tax policy",,100
6684,2018,Estonia,Free,social restrictions,,thousands
6685,1993,Latvia,Partly free,"political behavior, process",,100
6686,1995,Latvia,Free,"political behavior, process",,> 50
6687,1995,Latvia,Free,labor wage dispute,"political behavior, process",30000
6688,1996,Latvia,Free,"political behavior, process",,> 3000
6689,1996,Latvia,Free,"political behavior, process",,several hundred
6690,1996,Latvia,Free,social restrictions,,1500
6691,1996,Latvia,Free,"political behavior, process",,500
6692,1996,Latvia,Free,"political behavior, process",,300
6693,1996,Latvia,Free,"political behavior, process",,200
6694,1996,Latvia,Free,"political behavior, process",,several hundred
6695,1996,Latvia,Free,social restrictions,,several hundred
6696,1996,Latvia,Free,"price increases, tax policy",,several hundred
6697,1996,Latvia,Free,"political behavior, process",,1000
6698,1997,Latvia,Free,"political behavior, process",,several hundred
6699,1997,Latvia,Free,"political behavior, process",,100
6700,1997,Latvia,Free,social restrictions,,> 200
6701,1997,Latvia,Free,"political behavior, process",,several hundred
6702,1997,Latvia,Free,"political behavior, process",,500
6703,1997,Latvia,Free,"political behavior, process",,300
6704,1998,Latvia,Free,social restrictions,,200
6705,1998,Latvia,Free,"political behavior, process",,> 1000
6706,1998,Latvia,Free,social restrictions,,100
6707,1998,Latvia,Free,"political behavior, process",,5000
6708,1998,Latvia,Free,"political behavior, process",,600
6709,1998,Latvia,Free,"political behavior, process",,2000
6710,1998,Latvia,Free,"political behavior, process",,several dozens
6711,1998,Latvia,Free,"political behavior, process",,200
6712,1998,Latvia,Free,social restrictions,,50
6713,1998,Latvia,Free,social restrictions,,200
6714,1998,Latvia,Free,"political behavior, process",,400
6715,1998,Latvia,Free,social restrictions,,100
6716,1999,Latvia,Free,"price increases, tax policy",,4000
6717,1999,Latvia,Free,"price increases, tax policy",,1500
6718,1999,Latvia,Free,"price increases, tax policy",,300
6719,1999,Latvia,Free,"political behavior, process",,60-70
6720,1999,Latvia,Free,"political behavior, process","price increases, tax policy",10000
6721,1999,Latvia,Free,"political behavior, process",,60
6722,1999,Latvia,Free,"political behavior, process",,2000
6723,2002,Latvia,Free,"political behavior, process",,100
6724,2002,Latvia,Free,"political behavior, process",,100
6725,2002,Latvia,Free,labor wage dispute,,750
6726,2002,Latvia,Free,labor wage dispute,,4000
6727,2002,Latvia,Free,"political behavior, process",,250
6728,2002,Latvia,Free,"political behavior, process",,60
6729,2003,Latvia,Free,"political behavior, process",social restrictions,7000
6730,2003,Latvia,Free,"political behavior, process",social restrictions,100
6731,2003,Latvia,Free,"political behavior, process",social restrictions,150
6732,2003,Latvia,Free,"political behavior, process",,150
6733,2003,Latvia,Free,"political behavior, process",social restrictions,4000
6734,2003,Latvia,Free,"price increases, tax policy","political behavior, process",300
6735,2003,Latvia,Free,"political behavior, process",social restrictions,300
6736,2004,Latvia,Free,"political behavior, process",social restrictions,10000
6737,2004,Latvia,Free,"political behavior, process",social restrictions,15000
6738,2004,Latvia,Free,"political behavior, process",social restrictions,20000
6739,2007,Latvia,Free,"political behavior, process",social restrictions,100
6740,2007,Latvia,Free,labor wage dispute,"price increases, tax policy",1400
6741,2007,Latvia,Free,"political behavior, process",removal of politician,3000
6742,2007,Latvia,Free,labor wage dispute,"political behavior, process",1000
6743,2007,Latvia,Free,"political behavior, process",,7000-9000
6744,2008,Latvia,Free,"price increases, tax policy",,>1000
6745,2008,Latvia,Free,"political behavior, process",labor wage dispute,200
6746,2008,Latvia,Free,labor wage dispute,,300
6747,2008,Latvia,Free,labor wage dispute,,1000
6748,2009,Latvia,Free,"political behavior, process",,10000
6749,2010,Latvia,Free,"political behavior, process",labor wage dispute,1000
6750,2011,Latvia,Free,"political behavior, process","price increases, tax policy",700
6751,2011,Latvia,Free,"price increases, tax policy",,1000
6752,2011,Latvia,Free,"price increases, tax policy",,200
6753,2011,Latvia,Free,"political behavior, process",,>1000
6754,2011,Latvia,Free,"political behavior, process",,6000
6755,2011,Latvia,Free,"political behavior, process",,70
6756,2011,Latvia,Free,"price increases, tax policy",,300
6757,2011,Latvia,Free,"political behavior, process",,2000
6758,2011,Latvia,Free,"political behavior, process",,700
6759,2011,Latvia,Free,"political behavior, process",,100s
6760,2012,Latvia,Free,"political behavior, process",,150
6761,2012,Latvia,Free,labor wage dispute,,50
6762,2012,Latvia,Free,"price increases, tax policy",,200
6763,2012,Latvia,Free,"political behavior, process",,150
6766,2018,Latvia,Free,social restrictions,,100
6767,2018,Latvia,Free,social restrictions,,1000
6768,2018,Latvia,Free,social restrictions,,3000
6769,2018,Latvia,Free,social restrictions,,8000
6770,1990,Lithuania,-,"political behavior, process",,1000s
6771,1995,Lithuania,Free,labor wage dispute,"political behavior, process",5000
6772,1996,Lithuania,Free,removal of politician,"price increases, tax policy",5000
6773,1997,Lithuania,Free,"political behavior, process",,50+
6774,1999,Lithuania,Free,"political behavior, process",,200
6775,1999,Lithuania,Free,"political behavior, process",police brutality,200
6776,1999,Lithuania,Free,"price increases, tax policy",,100
6777,1999,Lithuania,Free,labor wage dispute,"political behavior, process",50
6778,1999,Lithuania,Free,"political behavior, process",labor wage dispute,200
6779,1999,Lithuania,Free,"price increases, tax policy","political behavior, process",300
6780,1999,Lithuania,Free,"political behavior, process","price increases, tax policy",800
6781,1999,Lithuania,Free,"political behavior, process",,3000
6782,1999,Lithuania,Free,"price increases, tax policy",labor wage dispute,1500
6783,1999,Lithuania,Free,"political behavior, process",,400
6784,1999,Lithuania,Free,labor wage dispute,,50
6785,2000,Lithuania,Free,"political behavior, process",,50
6786,2000,Lithuania,Free,"price increases, tax policy",,300
6787,2000,Lithuania,Free,"political behavior, process",,150-200
6788,2000,Lithuania,Free,"political behavior, process",labor wage dispute,500
6789,2000,Lithuania,Free,"political behavior, process",,1000
6790,2000,Lithuania,Free,"political behavior, process",,1000
6791,2000,Lithuania,Free,"price increases, tax policy","political behavior, process",500
6792,2000,Lithuania,Free,"political behavior, process",labor wage dispute,200
6793,2000,Lithuania,Free,labor wage dispute,"political behavior, process",300
6794,2000,Lithuania,Free,"political behavior, process",,500
6795,2000,Lithuania,Free,"political behavior, process",,150
6796,2000,Lithuania,Free,"political behavior, process","price increases, tax policy",150
6797,2003,Lithuania,Free,removal of politician,"political behavior, process",>50
6798,2004,Lithuania,Free,"political behavior, process",,100s
6799,2009,Lithuania,Free,"political behavior, process","price increases, tax policy",7000
6800,2010,Lithuania,Free,"price increases, tax policy","political behavior, process",400
6801,2013,Lithuania,Free,social restrictions,"political behavior, process",100s
6802,2015,Lithuania,Free,"political behavior, process",,100s
6803,2018,Lithuania,Free,social restrictions,,thousands
6804,2018,Lithuania,Free,labor wage dispute,,6000
6805,1992,Ukraine,Partly free,"price increases, tax policy",,> 5000
6806,1993,Ukraine,Partly free,"price increases, tax policy",,Thousands 
6807,1993,Ukraine,Partly free,labor wage dispute,"price increases, tax policy",45000
6808,1993,Ukraine,Partly free,"political behavior, process",,Dozens
6809,1995,Ukraine,Partly free,"political behavior, process",,> 1000
6810,1996,Ukraine,Partly free,removal of politician,,> 50
6811,1996,Ukraine,Partly free,labor wage dispute,,Thousands 
6812,1996,Ukraine,Partly free,labor wage dispute,,> 50
6813,1996,Ukraine,Partly free,removal of politician,"political behavior, process",> 50
6814,1996,Ukraine,Partly free,"political behavior, process",,1000
6815,1997,Ukraine,Partly free,"political behavior, process",,> 50
6816,1997,Ukraine,Partly free,"political behavior, process",,Tens of thousands
6817,1997,Ukraine,Partly free,labor wage dispute,,> 50
6818,1998,Ukraine,Partly free,labor wage dispute,,6000
6819,1998,Ukraine,Partly free,"political behavior, process",,> 50
6820,2000,Ukraine,Partly free,"political behavior, process",removal of politician,3000
6821,2000,Ukraine,Partly free,"political behavior, process",removal of politician,100s
6822,2001,Ukraine,Partly free,"political behavior, process",removal of politician,100
6823,2001,Ukraine,Partly free,"political behavior, process",removal of politician,3500-5000
6824,2001,Ukraine,Partly free,"political behavior, process",removal of politician,5000
6825,2001,Ukraine,Partly free,"political behavior, process",,1000
6826,2001,Ukraine,Partly free,"political behavior, process",removal of politician,18000
6827,2001,Ukraine,Partly free,"political behavior, process",police brutality,4000
6828,2001,Ukraine,Partly free,"political behavior, process",,1000
6829,2001,Ukraine,Partly free,"political behavior, process",removal of politician,10000
6830,2002,Ukraine,Partly free,removal of politician,,1000
6831,2002,Ukraine,Partly free,removal of politician,"political behavior, process",15000
6832,2002,Ukraine,Partly free,removal of politician,,5000
6833,2002,Ukraine,Partly free,"political behavior, process",,1000s
6834,2003,Ukraine,Partly free,removal of politician,,30000
6835,2003,Ukraine,Partly free,"political behavior, process",,5000
6836,2003,Ukraine,Partly free,"political behavior, process",,200
6837,2003,Ukraine,Partly free,removal of politician,"political behavior, process",5000
6838,2004,Ukraine,Partly free,"political behavior, process",,100s
6839,2004,Ukraine,Partly free,"political behavior, process",,>100000
6840,2004,Ukraine,Partly free,"political behavior, process",,30000
6841,2004,Ukraine,Partly free,"political behavior, process",,2000
6842,2004,Ukraine,Partly free,"political behavior, process",,10000
6843,2004,Ukraine,Partly free,"political behavior, process",,8000
6844,2007,Ukraine,Free,"political behavior, process",,35000 - 70000
6845,2009,Ukraine,Free,removal of politician,,100s
6846,2009,Ukraine,Free,"political behavior, process",,8000
6847,2011,Ukraine,Partly free,"political behavior, process",,100s
6848,2011,Ukraine,Partly free,"political behavior, process",,1000s
6849,2011,Ukraine,Partly free,"political behavior, process",,2000
6850,2012,Ukraine,Partly free,"political behavior, process",,100s
6851,2012,Ukraine,Partly free,"political behavior, process",social restrictions,2000
6852,2013,Ukraine,Partly free,"political behavior, process",,5000
6853,2013,Ukraine,Partly free,"political behavior, process",,10000s
6854,2013,Ukraine,Partly free,"political behavior, process",removal of politician,350000
6855,2014,Ukraine,Partly free,"political behavior, process",,1000s
6856,2014,Ukraine,Partly free,"political behavior, process",,100
6857,2014,Ukraine,Partly free,"political behavior, process",police brutality,50000
6858,2014,Ukraine,Partly free,police brutality,"political behavior, process",>50
6859,2014,Ukraine,Partly free,"political behavior, process",,200000
6860,2014,Ukraine,Partly free,"price increases, tax policy",police brutality,100s
6861,2014,Ukraine,Partly free,"political behavior, process",,>50
6862,2014,Ukraine,Partly free,"political behavior, process",,>50
6863,2014,Ukraine,Partly free,"political behavior, process",,>50
6864,2014,Ukraine,Partly free,"political behavior, process",,>50
6865,2014,Ukraine,Partly free,"political behavior, process",,2000
6866,2014,Ukraine,Partly free,"political behavior, process",,>50
6867,2014,Ukraine,Partly free,police brutality,"political behavior, process",>50
6868,2014,Ukraine,Partly free,"political behavior, process",,>50
6869,2014,Ukraine,Partly free,"political behavior, process",,>50
6870,2014,Ukraine,Partly free,"political behavior, process",,>50
6871,2014,Ukraine,Partly free,"political behavior, process",,1000s
6872,2014,Ukraine,Partly free,"political behavior, process",,>50
6873,2014,Ukraine,Partly free,"political behavior, process",,1000s
6874,2014,Ukraine,Partly free,"political behavior, process",,1000s
6875,2014,Ukraine,Partly free,"political behavior, process",,>50
6876,2014,Ukraine,Partly free,"political behavior, process",,1500
6877,2014,Ukraine,Partly free,"political behavior, process",,100s
6878,2014,Ukraine,Partly free,"political behavior, process",,2000
6879,2014,Ukraine,Partly free,"political behavior, process",,5000
6880,2014,Ukraine,Partly free,"political behavior, process",,>50
6881,2014,Ukraine,Partly free,"political behavior, process",police brutality,>50
6882,2014,Ukraine,Partly free,"political behavior, process",,>50
6883,2014,Ukraine,Partly free,"political behavior, process",,>50
6884,2014,Ukraine,Partly free,"political behavior, process",,>50
6885,2014,Ukraine,Partly free,"political behavior, process",,>50
6886,2014,Ukraine,Partly free,"political behavior, process",,300
6887,2014,Ukraine,Partly free,"political behavior, process",,1000s
6888,2014,Ukraine,Partly free,"political behavior, process",,500
6889,2014,Ukraine,Partly free,"political behavior, process",,>50
6890,2014,Ukraine,Partly free,"political behavior, process",,1000s
6891,2014,Ukraine,Partly free,"political behavior, process",,1000s
6892,2014,Ukraine,Partly free,"political behavior, process",,5000
6893,2014,Ukraine,Partly free,"political behavior, process",,1000s
6894,2014,Ukraine,Partly free,"political behavior, process",,>50
6895,2014,Ukraine,Partly free,"political behavior, process",,>50
6896,2014,Ukraine,Partly free,"political behavior, process",,10000s
6897,2014,Ukraine,Partly free,"political behavior, process",,1000s
6898,2014,Ukraine,Partly free,"political behavior, process",,1000s
6899,2014,Ukraine,Partly free,"political behavior, process",,100s
6900,2014,Ukraine,Partly free,"political behavior, process",,3000
6901,2014,Ukraine,Partly free,"political behavior, process",,1000
6902,2014,Ukraine,Partly free,"political behavior, process",,5000
6903,2014,Ukraine,Partly free,"political behavior, process",,>50
6904,2014,Ukraine,Partly free,"political behavior, process",,>50
6905,2014,Ukraine,Partly free,"political behavior, process",,>50
6906,2014,Ukraine,Partly free,"political behavior, process",,100s
6907,2014,Ukraine,Partly free,"political behavior, process",,1000s
6908,2014,Ukraine,Partly free,"political behavior, process",,5000
6909,2014,Ukraine,Partly free,"political behavior, process",,100s
6910,2014,Ukraine,Partly free,"political behavior, process",,400
6911,2014,Ukraine,Partly free,"political behavior, process",,100s
6912,2014,Ukraine,Partly free,"political behavior, process",,100s
6913,2014,Ukraine,Partly free,"political behavior, process",,100s
6914,2014,Ukraine,Partly free,"political behavior, process",,>50
6915,2014,Ukraine,Partly free,"political behavior, process",,>50
6916,2014,Ukraine,Partly free,"political behavior, process",,2000
6917,2014,Ukraine,Partly free,"political behavior, process",,1000s
6918,2014,Ukraine,Partly free,removal of politician,,1000
6919,2014,Ukraine,Partly free,social restrictions,"political behavior, process",500
6920,2014,Ukraine,Partly free,"political behavior, process",,>50
6921,2014,Ukraine,Partly free,"political behavior, process",,1000s
6922,2014,Ukraine,Partly free,"political behavior, process",,>50
6923,2014,Ukraine,Partly free,"political behavior, process",,>50
6924,2014,Ukraine,Partly free,"political behavior, process",,300
6925,2014,Ukraine,Partly free,"political behavior, process",removal of politician,100s
6926,2014,Ukraine,Partly free,"political behavior, process",,50
6927,2014,Ukraine,Partly free,"political behavior, process",,50
6928,2014,Ukraine,Partly free,"political behavior, process",,2000
6929,2014,Ukraine,Partly free,"political behavior, process",,>50
6930,2014,Ukraine,Partly free,"political behavior, process",,50
6931,2014,Ukraine,Partly free,"political behavior, process",,1000s
6932,2014,Ukraine,Partly free,"political behavior, process",,200
6933,2014,Ukraine,Partly free,"political behavior, process",,75
6934,2014,Ukraine,Partly free,"political behavior, process",,100s
6935,2014,Ukraine,Partly free,"political behavior, process",,100s
6936,2014,Ukraine,Partly free,police brutality,"political behavior, process",100s
6937,2014,Ukraine,Partly free,police brutality,,>50
6938,2014,Ukraine,Partly free,"political behavior, process",,150
6939,2014,Ukraine,Partly free,"political behavior, process",,>50
6940,2014,Ukraine,Partly free,"political behavior, process",,>50
6941,2014,Ukraine,Partly free,"political behavior, process",,1000s
6942,2014,Ukraine,Partly free,"political behavior, process",,20000
6943,2014,Ukraine,Partly free,"political behavior, process",,1000s
6944,2014,Ukraine,Partly free,"political behavior, process",,200
6945,2014,Ukraine,Partly free,"political behavior, process",,50
6946,2015,Ukraine,Partly free,"political behavior, process",,500
6947,2015,Ukraine,Partly free,police brutality,,50+
6948,2015,Ukraine,Partly free,"political behavior, process",,100s
6949,2016,Ukraine,Partly free,removal of politician,,several hundred
6953,1994,Belarus,Partly free,removal of politician,"political behavior, process",1000s
6954,1994,Belarus,Partly free,"political behavior, process",,1000+
6955,1995,Belarus,Partly free,labor wage dispute,"price increases, tax policy",100s
6956,1995,Belarus,Partly free,"political behavior, process",removal of politician,30000
6957,1995,Belarus,Partly free,"political behavior, process",removal of politician,30000
6958,1995,Belarus,Partly free,"political behavior, process",,7000
6959,1996,Belarus,Not free,"political behavior, process",,15000
6960,1996,Belarus,Not free,"political behavior, process",,20000
6961,1996,Belarus,Not free,"political behavior, process",,50000
6962,1996,Belarus,Not free,"political behavior, process",,20000
6963,1996,Belarus,Not free,removal of politician,,7000
6964,1996,Belarus,Not free,removal of politician,"political behavior, process",1000s
6965,1996,Belarus,Not free,"political behavior, process",,150
6966,1996,Belarus,Not free,"political behavior, process",,5000
6967,1996,Belarus,Not free,"political behavior, process",,50+
6968,1996,Belarus,Not free,"political behavior, process",removal of politician,200
6969,1997,Belarus,Not free,removal of politician,"political behavior, process",3000
6970,1997,Belarus,Not free,removal of politician,"political behavior, process",10000+
6971,1997,Belarus,Not free,"political behavior, process",removal of politician,50+
6972,1997,Belarus,Not free,"political behavior, process",,10000
6973,1997,Belarus,Not free,"political behavior, process",,4000
6974,1997,Belarus,Not free,"political behavior, process",,50+
6975,1998,Belarus,Not free,"political behavior, process",removal of politician,10000
