"SEX","GEO","TIME","CATEGORY","NACE_R2","AGE","UNIT","Value","Flag and Footnotes"
"Males","Netherlands","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","43.1",""
"Males","Netherlands","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","409.2",""
"Males","Netherlands","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","363.0",""
"Males","Netherlands","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","72.3",""
"Males","Netherlands","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","584.8",""
"Males","Netherlands","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","128.8",""
"Males","Netherlands","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","70.5",""
"Males","Netherlands","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","43.2",""
"Males","Netherlands","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","434.1",""
"Males","Netherlands","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","384.8",""
"Males","Netherlands","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","80.2",""
"Males","Austria","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","184.8",""
"Males","Austria","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","48.9",""
"Males","Austria","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","35.0",""
"Males","Austria","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","23.8",""
"Males","Austria","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","135.0",""
"Males","Austria","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","115.3",""
"Males","Austria","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","14.7",""
"Males","Austria","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","187.0",""
"Males","Austria","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","46.9",""
"Males","Austria","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","36.1",""
"Males","Austria","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","23.7",""
"Males","Austria","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","138.0",""
"Males","Austria","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","118.6",""
"Males","Austria","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","12.9",""
"Males","Austria","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","218.9",""
"Males","Austria","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","48.0",""
"Males","Austria","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","43.0",""
"Males","Austria","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","29.2",""
"Males","Austria","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","161.4",""
"Males","Austria","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","138.4",""
"Males","Austria","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","14.5",""
"Males","Austria","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","215.6",""
"Males","Austria","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","44.8",""
"Males","Austria","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","40.0",""
"Males","Austria","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","27.4",""
"Males","Austria","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","160.9",""
"Males","Austria","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","139.7",""
"Males","Austria","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","14.8",""
"Males","Poland","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","585.0",""
"Males","Poland","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","142.7",""
"Males","Poland","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","104.3",""
"Males","Poland","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","52.9",""
"Males","Poland","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","393.1",""
"Males","Poland","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","357.0",""
"Males","Poland","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","87.5",""
"Males","Poland","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","620.2",""
"Males","Poland","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","160.2",""
"Males","Poland","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","123.5",""
"Males","Poland","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","70.4",""
"Males","Poland","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","406.5",""
"Males","Poland","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","373.5",""
"Males","Poland","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","90.2",""
"Males","Poland","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","641.2",""
"Males","Poland","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","173.9",""
"Males","Poland","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","130.6",""
"Males","Poland","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","71.4",""
"Males","Poland","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","420.6",""
"Males","Poland","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","383.7",""
"Males","Poland","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","90.1",""
"Males","Poland","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","675.6",""
"Males","Poland","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","195.2",""
"Males","Poland","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","131.3",""
"Males","Poland","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","70.7",""
"Males","Poland","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","445.9",""
"Males","Poland","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","413.4",""
"Males","Poland","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","98.4",""
"Males","Portugal","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","175.5",""
"Males","Portugal","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","40.8",""
"Males","Portugal","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","24.2",""
"Males","Portugal","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","9.7",""
"Males","Portugal","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","132.8",""
"Males","Portugal","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","118.2",""
"Males","Portugal","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","18.5",""
"Males","Portugal","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","174.4",""
"Males","Portugal","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","46.5",""
"Males","Portugal","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","21.8",""
"Males","Portugal","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","8.6",""
"Males","Portugal","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","135.8",""
"Males","Portugal","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","122.9",""
"Males","Portugal","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","16.8",""
"Males","Portugal","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","196.7",""
"Males","Portugal","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","54.4",""
"Males","Portugal","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","25.2",""
"Males","Portugal","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","10.1",""
"Males","Portugal","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","150.5",""
"Males","Portugal","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","135.9",""
"Males","Portugal","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","21.0",""
"Males","Portugal","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","223.4",""
"Males","Portugal","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","62.5",""
"Males","Portugal","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","24.0",""
"Males","Portugal","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","9.8",""
"Males","Portugal","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","178.1",""
"Males","Portugal","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","158.6",""
"Males","Portugal","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","21.3",""
"Males","Romania","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","312.7",""
"Males","Romania","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","55.4",""
"Males","Romania","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","78.9",""
"Males","Romania","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","42.0",""
"Males","Romania","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","146.9",""
"Males","Romania","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","119.2",""
"Males","Romania","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","86.8",""
"Males","Romania","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","313.7",""
"Males","Romania","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","66.2",""
"Males","Romania","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","81.4",""
"Males","Romania","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","44.9",""
"Males","Romania","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","151.5",""
"Males","Romania","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","128.8",""
"Males","Romania","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","80.7",""
"Males","Romania","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","326.1",""
"Males","Romania","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","69.0",""
"Males","Romania","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","85.6",""
"Males","Romania","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","52.1",""
"Males","Romania","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","160.4",""
"Males","Romania","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","137.4",""
"Males","Romania","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","80.0",""
"Males","Romania","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","335.5",""
"Males","Romania","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","73.3",""
"Males","Romania","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","82.7",""
"Males","Romania","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","51.5",""
"Males","Romania","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","170.5",""
"Males","Romania","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","143.5",""
"Males","Romania","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","82.3",""
"Males","Slovenia","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","41.4",""
"Males","Slovenia","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","10.6",""
"Males","Slovenia","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","11.9",""
"Males","Slovenia","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","7.0",""
"Males","Slovenia","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","25.9",""
"Males","Slovenia","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","23.2",""
"Males","Slovenia","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","3.7","u"
"Males","Slovenia","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","43.5",""
"Males","Slovenia","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","13.0",""
"Males","Slovenia","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","11.4",""
"Males","Slovenia","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","5.9",""
"Males","Slovenia","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","28.0",""
"Males","Slovenia","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","25.8",""
"Males","Slovenia","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","4.0",""
"Males","Slovenia","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","46.0",""
"Males","Slovenia","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","13.3",""
"Males","Slovenia","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","12.9",""
"Males","Slovenia","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","8.7",""
"Males","Slovenia","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","29.2",""
"Males","Slovenia","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","26.7",""
"Males","Slovenia","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","4.0","u"
"Males","Slovenia","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","48.6",""
"Males","Slovenia","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","14.4",""
"Males","Slovenia","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","14.3",""
"Males","Slovenia","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","9.1",""
"Males","Slovenia","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","30.1",""
"Males","Slovenia","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","27.1",""
"Males","Slovenia","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","4.2",""
"Males","Slovakia","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","58.0",""
"Males","Slovakia","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","24.5",""
"Males","Slovakia","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","7.5",""
"Males","Slovakia","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","4.6",""
"Males","Slovakia","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","43.6",""
"Males","Slovakia","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","40.5",""
"Males","Slovakia","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","6.8",""
"Males","Slovakia","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","62.9",""
"Males","Slovakia","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","23.7",""
"Males","Slovakia","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","8.0",""
"Males","Slovakia","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","3.5",""
"Males","Slovakia","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","46.2",""
"Males","Slovakia","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","42.5",""
"Males","Slovakia","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","8.8",""
"Males","Slovakia","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","67.6",""
"Males","Slovakia","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","25.8",""
"Males","Slovakia","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","10.5",""
"Males","Slovakia","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","5.4",""
"Males","Slovakia","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","50.3",""
"Males","Slovakia","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","45.8",""
"Males","Slovakia","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","6.8",""
"Males","Slovakia","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","75.0",""
"Males","Slovakia","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","30.1",""
"Males","Slovakia","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","13.5",""
"Males","Slovakia","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","8.5",""
"Males","Slovakia","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","57.5",""
"Males","Slovakia","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","52.4",""
"Males","Slovakia","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","4.1",""
"Males","Finland","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","187.1",""
"Males","Finland","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","61.2",""
"Males","Finland","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","45.2",""
"Males","Finland","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","28.9",""
"Males","Finland","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","124.4",""
"Males","Finland","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","113.4",""
"Males","Finland","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","17.5",""
"Males","Finland","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","196.3",""
"Males","Finland","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","64.7",""
"Males","Finland","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","45.1",""
"Males","Finland","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","29.8",""
"Males","Finland","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","130.8",""
"Males","Finland","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","119.0",""
"Males","Finland","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","20.4",""
"Males","Finland","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","204.4",""
"Males","Finland","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","64.5",""
"Males","Finland","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","45.4",""
"Males","Finland","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","30.3",""
"Males","Finland","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","138.8",""
"Males","Finland","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","125.9",""
"Males","Finland","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","20.2",""
"Males","Finland","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","211.3",""
"Males","Finland","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","65.3",""
"Males","Finland","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","45.9",""
"Males","Finland","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","28.2",""
"Males","Finland","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","142.7",""
"Males","Finland","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","128.8",""
"Males","Finland","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","22.7",""
"Males","Sweden","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","286.4",""
"Males","Sweden","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","84.2",""
"Males","Sweden","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","33.6",""
"Males","Sweden","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","26.8",""
"Males","Sweden","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","243.3",""
"Males","Sweden","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","220.1",""
"Males","Sweden","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","9.6",""
"Males","Sweden","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","298.3",""
"Males","Sweden","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","90.9",""
"Males","Sweden","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","34.3",""
"Males","Sweden","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","26.9",""
"Males","Sweden","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","254.2",""
"Males","Sweden","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","233.2",""
"Males","Sweden","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","9.7",""
"Males","Sweden","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","311.8","b"
"Males","Sweden","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","95.5","b"
"Males","Sweden","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","32.0","b"
"Males","Sweden","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","23.7","b"
"Males","Sweden","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","268.8","b"
"Males","Sweden","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","250.9","b"
"Males","Sweden","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","11.1","b"
"Males","Sweden","2019","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","337.5",""
"Males","Sweden","2019","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","108.2",""
"Males","Sweden","2019","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","31.9",""
"Males","Sweden","2019","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","24.9",""
"Males","Sweden","2019","Scientists and engineers","Services","From 15 to 74 years","Thousand","293.8",""
"Males","Sweden","2019","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","271.8",""
"Males","Sweden","2019","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","11.8",""
"Males","United Kingdom","2016","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","2,089.7",""
"Males","United Kingdom","2016","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","519.2",""
"Males","United Kingdom","2016","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","287.0",""
"Males","United Kingdom","2016","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","162.4",""
"Males","United Kingdom","2016","Scientists and engineers","Services","From 15 to 74 years","Thousand","1,559.7",""
"Males","United Kingdom","2016","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","1,362.3",""
"Males","United Kingdom","2016","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","243.0",""
"Males","United Kingdom","2017","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","2,025.0",""
"Males","United Kingdom","2017","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","500.1",""
"Males","United Kingdom","2017","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","288.1",""
"Males","United Kingdom","2017","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","165.7",""
"Males","United Kingdom","2017","Scientists and engineers","Services","From 15 to 74 years","Thousand","1,505.7",""
"Males","United Kingdom","2017","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","1,327.2",""
"Males","United Kingdom","2017","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","231.3",""
"Males","United Kingdom","2018","Scientists and engineers","Total - all NACE activities","From 15 to 74 years","Thousand","2,120.4",""
"Males","United Kingdom","2018","Scientists and engineers","High-technology sectors (high-technology manufacturing and knowledge-intensive high-technology services)","From 15 to 74 years","Thousand","514.5",""
"Males","United Kingdom","2018","Scientists and engineers","Manufacturing","From 15 to 74 years","Thousand","305.9",""
"Males","United Kingdom","2018","Scientists and engineers","High and medium high-technology manufacturing","From 15 to 74 years","Thousand","177.8",""
"Males","United Kingdom","2018","Scientists and engineers","Services","From 15 to 74 years","Thousand","1,579.5",""
"Males","United Kingdom","2018","Scientists and engineers","Total knowledge-intensive services","From 15 to 74 years","Thousand","1,390.8",""
"Males","United Kingdom","2018","Scientists and engineers","Other NACE activities","From 15 to 74 years","Thousand","235.0",""
