,Job Title,Salary Estimate,Job Description,Rating,Company Name,Location,Headquarters,Size,Type of ownership,Industry,Sector,Revenue,Easy Apply,Min Salary,Max Salary
1962,Junior Data Analyst,93-159 (),"Job Description
Job description
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Requirements
Proven work experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)
Powered by JazzHR

BkGZjiKOEe",5.0,"['Staffigo Technical Services, LLC', '5.0']","San Francisco, CA","Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),False,93,159 ()
1964,"Sr. Data Analyst, Twitter Service Tech",93-159 (),"Sr. Data Analyst - Twitter Service Tech, San Francisco

Do you love protecting platforms from adversarial actors? Are you a data-driven analyst who is willing to dive deep and identify what spammers are up to? Join us in protecting Twitter from various forms of spam and abuse!

Who We Are

The Platform Intelligence Team is responsible for protecting Twitter from platform manipulation and ensuring integrity of accounts through smart intelligence, scaled & automated enforcement, and operational excellence. We focus on combating scaled attack patterns, automation development, and protecting the Twitter brand and user experience by preventing terms of service violations across the Twitter platform.

The Twitter Service organization provides meaningful and effective support and services to the Twitter community. We are on our way to becoming recognized as the best embodiment of a service driven culture, placing customer needs at the center of operations as we actively listen and help. Our mission is to provide customer service so remarkable, it removes any barriers towards participating in the public conversation.

What You’ll Do
Conduct forensic investigation and take action on suspicious accounts that violate our terms of service at scale, including but not limited to spam, abuse, identity, media, etc.
Identify new problems of policy violations on the platform and implement solutions at scale.
Conduct studies to accumulate intelligence on identified networks of spammy or abusive actors;
Rapidly build and launch auto-enforcement rules based on heuristics;
Build simple heuristic rules, advanced statistical models, or machine learning models, to identify opportunities in remediating accounts with spam and abuse activities
Maintain and improve an existing set of rules for automation and generating manual review queues;
Work with XFN partners, to communicate findings and investigate problems.
Who You Are

If this role sounds like a great match, you probably have:
Multiple years of experience combating spam and abuse, conducting forensic analysis and investigations;
Strong experience working with SQL on large data sets;
Experience writing data pipelines with a programming language like R, Python and Go;
Experience using data visualization tools (e.g, Data Studio, Zeppelin) to share ongoing insights;
Strong communication skills to collaborate with other operations, engineering and product teams.",4.0,"['Twitter', '4.0']","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Company - Public,Internet,Information Technology,$2 to $5 billion (USD),False,93,159 ()
1984,Product Compliance Data Analyst,82-116 (),"Square builds common business tools in unconventional ways so more people can
start, run, and grow their businesses. When Square started, it was difficult
and expensive (or just plain impossible) for some businesses to take credit
cards. Square made credit card payments possible for all by turning a mobile
phone into a credit card reader. Since then Square has been building an entire
business toolkit of both hardware and software products including Square
Capital, Square Terminal, Square Payroll, and more. We re working to find n
and better ways to help businesses succeed on their own terms and we r
looking for people like you to help shape tomorrow at Square.

Job_Description

As part of the Compliance Product and Strategy Team, you will drive the
analysis for essential decisions and insight across the compliance
organization. You will build and automate reporting for Compliance processes,
improving Compliance infrastructure and platforms.

Cash App is the fastest growing financial brand in the world. Built to take the
pain out of peer-to-peer payments, Cash App has gone from a simple product with
a single purpose to a dynamic money app with over 15 million active monthly
users. Loved by customers and by pop culture, we ve held the #1 spot in
finance on the App Store for almost two years, and our social media posts see
more engagement in a day than most financial brands see in a year. Cash App is
bringing a better way to send, spend, and save to anyone who has ever sought an
alternative to today s banking system.

You_Will
Build and automate metrics reporting for important Compliance processes
Work with engineering teams to understand the intricacies of legacy data
Organize internal Compliance data requests (build transaction monitoring
signals, assure quality and data integrity for internal and external
audits, provide analysis on operational metrics)
Help with ad hoc projects, including leading on project work streams,
which arise from time to time out of regulatory or environmental changes.
Use information from regulatory changes, new regulations, and internal
policy changes to further identify new risk areas
Analyze comparative data, present reports related to AML risk
assessments, and monitor AML related issues and escalations
Build databases, dashboards, and tools on a diverse set of topics with a
focus on promoting automation and scaling, and providing easily
understood reports
Ensure data integrity, identify reporting issues, recommend solutions,
and remove roadblocks
Provide coordination for projects and communicate strategy and priorities
to our teams
Track progress against targets and benchmark performance against main
indicators and stakeholder expectations
Develop approaches/action plans to compliance and control issues by
weighing various alternatives and balancing potentially conflicting
situations
Support ongoing optimization to the effectiveness of all in scope BAU
transaction monitoring systems, scenarios and rules
Identify risks and propose recommendations to address processes requiring
optimization and improvement
Establish and track project milestones while reporting on an overall
integrated delivery plan
Work with cross-divisional partners, including technology, operations and
business personnel through all aspects of strategic builds of critical
compliance program elements
Design key metrics to measure different aspects of the business
You_Have

Qualifications
6+ years experience in an analytics role or equivalent in compliance
space
B.A. or B.S. in quantitative field (i.e. Mathematics, Statistics,
Economics, Computer Science, Engineering Sciences)
Experience with SQL(SnowflakeVertica a plus)
Experience with Transaction Monitoring AML typologies and rules
Experience with Risk Coverage Assessment, Model Validation and Tuning
Experience working with teams across all areas in a company; present
detailed data and recommendations to senior leadership
Knowledge of AML laws and regulations, including a general and broad
understanding of AML and reputational risks (PEPs, Sanctions, AB&C)
Presentation and communications experience extracting insights from
technical data sets to varied audiences including communicating with
senior management

Even_Better
Experience in Looker, Airflow, Python, or Git
Experience with Sanctions screening tools a plus
Consumer Financial Product/Payments/Fintech Experience a plus
Machine learning, statistical modeling or data mining expertise
Additional Information

At Square, we value diversity and always treat all employees and job applicants
based on merit, qualifications, competence, and talent. We do not discriminate
on the basis of race, religion, color, national origin, gender, sexual
orientation, age, marital status, veteran status, or disability status. We will
consider for employment qualified applicants with criminal histories in a
manner consistent with the requirements of the San Francisco Fair Chance
Ordinance. Applicants in need of special assistance or accommodation during the
interview process or in accessing our website may contact us by sending an
email to assistance(at). We will treat your request as
confidentially as possible. In your email, please include your name and
preferred method of contact, and we will respond as soon as possible.

Perks

At Square, we want you to be well and thrive. Our global benefits package
includes:
Healthcare coverage
Retirement Plans
Employee Stock Purchase Program
Wellness perks
Paid parental leave
Flexible time off
Learning and Development resources",4.0,"['Square', '4.0']","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),False,82,116 ()
1986,Principal Data Analyst,82-116 (),"Hinge Health is pioneering the world's most patient-centered digital hospital, starting with musculoskeletal health. MSK conditions are the #1 medical spend for US employers. Hinge Health is finally making it easier to bring expert-recommended care to millions of patients by being the first company to combine wearable-sensor guided exercise therapy with 1-on-1 health coaching and patient education. Only Hinge Health has clinically validated outcomes across 4 peer-reviewed studies showing reductions in: chronic pain, opioid use, anxiety, depression, absenteeism, and costly surgeries.

4 in 5 employers with a digital MSK solution partner with Hinge Health and we are poised to triple our customer base again in 2020. Hinge Health has raised $126M to date and has 300+ employees across our San Francisco, Portland, Minneapolis, Chicago, and remote offices.

We are looking for an experienced analyst to partner with many of the most important decision makers at the company, helping us drive forward our understanding of user and company data. This person will dive headlong into complex problems alongside operators (including R&D, Clinical, Operations, and more) to answer tough questions using a wide variety of techniques, from exploratory analyses to experimentation.

This role takes important analytics competencies (natural curiosity, partnering with stakeholders) and mixes them with data science and applied statistics to provide signal from the noise. This analyst not only adds value by answering longstanding questions but figures out which questions to ask next. It’s a fantastic opportunity to join our fast-growing data team and shape how Hinge Health uses data to make its most critical decisions.
WHAT YOU’LL ACCOMPLISH
Mature the understanding of trends in our data, clarifying company and product strategy
Build strong partnerships across the organization, becoming a trusted partner
Co-lead on designing product experiments and lead on measuring their effectiveness
Enable others to self-serve for ongoing data needs through Mode
Work closely with our data engineers to continue maturing our data infrastructure
Helping your colleagues do the best, most well-informed work of their career
WHAT WE’RE LOOKING FOR
5+ years experience using statistical techniques to analyze data (R, Python, etc.)
Proven track record partnering with with any business unit, from Product to Commercial
Proficient with SQL and Python and can manage their own data pipelines when needed
Pairs an understanding of high-level business/product problems with advanced analysis
Mastery of dashboard tools (Mode, Tableau, Looker, etc.) and a knack for visuals
Thrives in ambiguity and can explore a problem with minimal direction
BONUS POINTS
Bachelors or advanced degree in Statistics, Mathematics, CS or other quantitative field
Experience analyzing healthcare-specific data: ICD-10/CPT/DRG codes, medical claims
Comfort working at a fast-paced start-up
WHAT SHAPES OUR COMPANY
Trust: We trust our teammates to always act in the team and company’s best interest.
Hustle: We’re creative, we’re unrelenting, we find a way.
Effective communication: We’re prompt and concise.
Learn-it-all (vs know-it-all): We’re always willing to learn.
Frugal: We don’t waste money and especially not time.
WHAT YOU'LL LOVE ABOUT US
Competitive compensation with meaningful stock options
Medical, Dental, Vision, Disability and Life Insurance (We cover 100% of your premium and 75% for your dependents)
401K match
3 months paid parental leave
Daily lunch
Professional development budget
Monthly fitness/gym reimbursement
Annual mental wellness benefit
Noise-cancelling headphones
Work from home policy
Opportunity to join a fantastically talented, diverse, and passionate team at a pivotal time in the company’s lifecycle
If you're interested - we'd love to hear from you. No recruiters, please.

Hinge Health is proud to be an Equal Employment Opportunity and Affirmative Action employer. We do not discriminate based upon race, religion, color, national origin, gender (including pregnancy, childbirth, or related medical conditions), sexual orientation, gender identity, gender expression, age, status as a protected veteran, status as an individual with a disability, or other applicable legally protected characteristics.

We celebrate diversity and are committed to creating an inclusive environment for all employees.",4.4,"['Hinge Health', '4.4']","San Francisco, CA","San Francisco, CA",201 to 500 employees,Company - Private,Health Care Services & Hospitals,Health Care,$50 to $100 million (USD),False,82,116 ()
1989,Master Data Analyst – SAP MDG Platform,82-116 (),"Position Number: 341347

Location: San Francisco, CA 94105

Position Type: Temporary

Required Skill Set:
Data Analyst, DATA MANAGEMENT, SalesForce

Position Description:
*C2C is not available**
*Only U.S. Citizens and those authorized to work in the U.S. can be considered as W2 candidates.**
Job Title: Master Data Analyst – SAP MDG Platform
Duration: 6 months, with the possibility of conversion
Location: San Francisco

Description:
Ready to shake things up? Join us as we pursue our disruptive new vision to make machine data accessible, usable and valuable to everyone. We are a company filled with people who are passionate about our product and strive to deliver the best experience for our customers. We’re committed to our work, customers, having fun, and most importantly to each other’s success.
Our clinet is growing its Enterprise Data Management team to focus on master data management and governance strategy and operations.
As the Master Data Management (MDM) analyst you will help us define & build master data operations for our new ERP deployment of S/4 Hana. You’ll work with business partners in Finance and Sales to identify the critical data and rules necessary to deliver customer, material, vendor, profit center, cost center, fixed assets & GL account mastering for business operations. You’ll partner with Data Quality and IT to to build an offshore operations model for master data maintenance. You will help us ensure clear standard operating procedures. (SOP) & service level agreements (SLA) are documented and governed across different master data objects. Because our long-term vision is to invest in MDM tooling and automation, you''ll bring your technical expertise in SAP MDG to bear, and ensure maintenance processes we deploy are easily adaptable for this future investment.

Responsibilities:
• Develop master data creation/update processes for core master data objects (customer, vendor, material) and core financial data objects (profit center, cost center, fixed asset, GL accounts etc.)
• Run workshops with cross functional groups to define, review & approve processes
• Define a shared service model to maintain master data
• Onboard and train offshore team
• Operationalize MDM support including escalation & performance monitoring

Education & Experience
• Undergraduate degree in Statistics, Engineering, Computer Sciences, Finance, Accounting, or related field
• 3+ years of business experience with financial operations and reporting processes
• Minimum 3 years of experience in master data management practices.
• Ability to engage and communicate at manager level and above to provide clear, concise explanations of data governance concepts, programs and initiatives
• Demonstrable experience working within complex, federated data and system architecture
• Experience working both automated and non-automated master data operations models

Desired Skills:
• Prior experience of implementing SAP Master Data Governance (MDG)
• Working experience in SAP BODS, SAP Information Steward
• Experience with SalesForce (SFDC) master data
• Design and use of Google Forms, ServiceNow, or similar for change management
• Workshop planning & leadership
• Clear understanding of match/merge and survivorship rules for master data
• Process mapping, data cataloging
• Understanding and use of process metrics to monitor and maintain effectiveness of operations

#CBRose#",4.5,"['Rose International', '4.5']","San Francisco, CA","Chesterfield, MO",1001 to 5000 employees,Company - Private,Staffing & Outsourcing,Business Services,$100 to $500 million (USD),False,82,116 ()
2001,Data Analyst,65-120 (),"Bachelor's degree
in Computer science or equivalent, with minimum 10+ Yrs. of
relevant experience.
You should have 9+
years of Data Analyst experience with at least 5+ years in Healthcare Domain
You must have experienced in Database Design/Development in Netezza, Oracle 9i/8i/11g, SQL Server.
You should have experienced Data Analyst
in Healthcare industry covering all areas - Member, enrollment, claims,
provider etc.
You should be Gathering and integratin g data from disparate sources.
You should have understanding the requirements in detail and
provides sign off on the requirements
You should have discuss the Data model,
data flow and data mapping with the development team, focused on performance
strategies
You should have duality focused, detail-oriented data analyst, designer,
and liaison, demonstrating track record of providing solutions of high priority
business goals and strategic senior management decisions.
You should have actively involved in Requirement gathering, System Analysis, Integration, Data
Profiling, data mapping creation for ETL/ELT development.
Demonstrate excellent communication skills including the
ability to effectively communicate with internal and external customers.
Ability to use strong industry knowledge to relate to
customer needs and dissolve customer concerns and high level of focus and
attention to detail.
Strong work ethic with good time management with ability to
work with diverse teams and lead meetings.",4.0,"['Lorven Technologies Inc', '4.0']","San Francisco, CA","Plainsboro, NJ",1 to 50 employees,Company - Private,Accounting,Accounting & Legal,Less than $1 million (USD),False,65,120 ()
2002,Data Analyst,65-120 (),"Job Description
Job description
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements
Proven work experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL etc), programming (XML, Javascript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)
Powered by JazzHR

p7WSN0aSbR",5.0,"['Staffigo Technical Services, LLC', '5.0']","San Francisco, CA","Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),False,65,120 ()
2007,Business Data Analyst - Senior/Director : 20,65-120 (),"Job Description
Primary Skills: Risk analytics, Bigdata, Tableau, SQL, Finance/Payments, Business Systems Analysis
Duration: 12 Months + (High possibility of conversion*)
Contract Type: W2/C2C

Note: Remote

Overview:
This role is on the Risk Analytics & MIS team, where we have a simple mission: turn massive amounts of data into actionable insights that ensure seamless, secure commerce experiences across client’s physical and digital eco-system. Our analytic and data professionals deliver on this mission by implementing data based solutions, analysis and insights targeted at maintaining security, reducing fraud rates and preserving the integrity of the largest payment processing network in the world.
Data analytics is a critical pillar of the Risk organization. To be successful in this role, you will use strong analytical and leadership skills, contextual business sense and a creative flair to solve real world challenges for client’s and our clients. Your expertise and insights will serve as a beacon to guide business decisions based on data. Directly reports to the Global Head of Risk Analytics & MIS.
Qualifications:
Must have: 8+ years of work experience with a Bachelor's Degree; 7 years of work experience with an Advanced degree (e.g. Masters/MBA/JD/MD); or a minimum of 5 years of work experience with a PhD
Preferred:10-12+ years of experience with a Bachelor's Degree (quantitative field preferred) or 10 years of experience with an Advanced Degree (quantitative or business degree highly desirable). Demonstration of progressive success in roles of increasing responsibility.
Expertise in delivering data insights, strategic planning and analytic strategy is highly desirable.
Extensive experience in risk, banking or financial services is required. knowledge of the payments industry is highly desirable.
Risk operations or Risk analytics experience or similar quantitative business responsibility for financial or operational performance highly desirable.
Strong understanding of manipulating data from a variety of sources
Big data experience (Hadoop, Hive, Spark), data visualization experience (Tableau) and/or SQL experience are critical skills – this role is about both doing and delivering
To follow up with any questions please contact Sagar @ 408-907-7680

Akraya is an award-winning IT staffing firm and the staffing partner of choice for many leading companies across the US. We offer comprehensive benefits including Health Insurance (medical, dental, and vision), Cafeteria Plan (HSA, FSA, and dependent care), 401(k) (enrollment subject to eligibility), and Sick Pay (varies based on city and state laws).

If this position is not quite what you're looking for, visit akraya.com and submit a copy of your resume. We will get to work finding you a job that is a better fit at one of our many amazing clients.

Akraya is committed to equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to gender, race, religion, national origin, ethnicity, disability, gender identity/expression, sexual orientation, veteran or military status, or any other category protected under the law. Akraya is an equal opportunity employer; committed to a community of inclusion, and an environment free from discrimination, harassment, and retaliation.",4.6,"['Akraya Inc.', '4.6']","San Francisco, CA","Santa Clara, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),False,65,120 ()
2011,"Senior Compliance Data Analyst, Cash App",65-120 (),"Job Description
Company Description

Square builds common business tools in unconventional ways so more people can start, run, and grow their businesses. When Square started, it was difficult and expensive (or just plain impossible) for some businesses to take credit cards. Square made credit card payments possible for all by turning a mobile phone into a credit card reader. Since then Square has been building an entire business toolkit of both hardware and software products including Square Capital, Square Terminal, Square Payroll, and more. We’re working to find new and better ways to help businesses succeed on their own terms—and we’re looking for people like you to help shape tomorrow at Square.Job Description

You have:
6+ years of experience in an analytics role or equivalent in compliance space
B.A. or B.S. in quantitative field (i.e. Mathematics, Statistics, Economics, Computer Science, Engineering Sciences)
Extensive experience with SQL (SnowflakeVertica a plus) and familiarity with Looker, Airflow, Python, or Git
Experience with financial crimes compliance systems, technologies and processes, especially AML transaction monitoring typologies and rules
Experience leading a team or leading complex projects
Knowledge of AML laws and regulations, including reputational risks (PEPs, Sanctions, AB&C)
Experience working across all business groups in a company
Presentation and communications experience extracting insights, trends and key risks from technical data sets for senior management
Even Better:
Experience or broad understanding of Risk Coverage Assessments, Model Validation and Tuning
Experience with Sanctions screening tools
Consumer Financial Product/Payments/Fintech Experience
Machine learning, statistical modeling or data mining expertise
Qualifications

You will:
Build and automate metrics reporting for Compliance processes
Work with engineering teams to understand the intricacies of legacy data
Organize internal Compliance data requests (build transaction monitoring signals, assure quality and data integrity for internal and external audits, provide analysis on operational metrics)
Help with ad hoc projects, including leading on project work streams, which arise from time to time out of regulatory or environmental changes.
Use information from regulatory changes, new regulations, and internal policy changes to further identify new risk areas
Analyze comparative data, present reports related to AML risk assessments, and monitor AML related issues and escalations
Build databases, dashboards, and tools on a diverse set of topics with a focus on promoting automation and scaling, and providing easily understood reports
Ensure data integrity, identify reporting issues, recommend solutions, and remove roadblocks
Provide coordination for projects and communicate strategy and priorities to our teams
Track progress against targets and benchmark performance against main indicators and stakeholder expectations
Develop approaches/action plans to compliance and control issues by weighing various alternatives and balancing potentially conflicting situations
Support ongoing optimization to the effectiveness of all in scope BAU transaction monitoring systems, scenarios and rules
Identify risks and propose recommendations to address processes requiring optimization and improvement
Establish and track project milestones while reporting on an overall integrated delivery plan
Work with cross-divisional partners, including technology, operations and business personnel through all aspects of strategic builds of critical compliance program elements
Design key metrics to measure different aspects of the business
Additional Information

At Square, we value diversity and always treat all employees and job applicants based on merit, qualifications, competence, and talent. We do not discriminate on the basis of race, religion, color, national origin, gender, sexual orientation, age, marital status, veteran status, or disability status. We will consider for employment qualified applicants with criminal histories in a manner consistent with the requirements of the San Francisco Fair Chance Ordinance. Applicants in need of special assistance or accommodation during the interview process or in accessing our website may contact us by sending an email to assistance(at)squareup.com. We will treat your request as confidentially as possible. In your email, please include your name and preferred method of contact, and we will respond as soon as possible.

Perks

At Square, we want you to be well and thrive. Our global benefits package includes:
Healthcare coverage
Retirement Plans
Employee Stock Purchase Program
Wellness perks
Paid parental leave
Flexible time off
Learning and Development resources",4.0,"['Square', '4.0']","San Francisco, CA","San Francisco, CA",1001 to 5000 employees,Company - Public,Computer Hardware & Software,Information Technology,$1 to $2 billion (USD),False,65,120 ()
2015,Sr. Data Analyst - Risk Analysis,65-120 (),"Company


A unique and highly-impactful role at one of the fastest-growing global cryptocurrency exchanges based in SF-SOMA (with stunning views of the Bay Bridge). The data analyst - risk analysis will be driving the analysis for key decisions and insight across the risk & compliance, finance and other departments to identify insights needed to improve our processes and controls globally.

Job Functions


In this role, you'll get to:
Facilitate internal data requests including developing transaction and fraud monitoring rules and testing, assure quality and data integrity for external audits and exams, provide analysis on customer profiles and transaction activity
Design and implement analytics strategies to convert data into actionable business intelligence
Build and automate key performance dashboards and metrics reporting for all Compliance, Risk & Finance processes to display insights and provide transparency about our customers and our platform
Map all required data points to understand the current data architecture and seek improvements, where necessary
Break down complex business problems into key components and detailed requirements; to understand the root cause and develop actionable solutions
Collaborate cross functionally with product, engineering, compliance and finance teams both in the US and internationally
Possibility of travel to Beijing, Hong Kong, Malta and other overseas offices
On the first day, we'll expect you to have:
BA/BS in Statistics, Computer Science or a related technical field or equivalent practical experience
At least 5 years of experience in data analytics or closely related field
Fluency in Chinese-Mandarin is required for the role (speaking and writing)
Prior experience analyzing compliance, finance or risk data is a plus
A strong intuition for crafting raw data and analysis into well-written and persuasive content
Expertise in SQL and knowledge of cloud data environments e.g. AWS
Familiarity with Excel, Tableau, Looker, or similar reporting tools
Strong interpersonal skills, with an emphasis on teamwork, initiative, and integrity
Comfort with working in a fast-paced environment and handling multiple priorities simultaneously
It's great, but not required if you have:
Experience with scripting and analysis languages (Python, R, SQL)
Prior experience working in the Digital Assets or Financial Services industry
Industry or educational experience in text mining, information retrieval, knowledge extraction, and building knowledge graphs
OKCoin Statement:

OKCoin is committed to equal employment opportunities regardless of race, color, genetic information, creed, religion, sex, sexual orientation, gender identity, lawful alien status, national origin, age, marital status, and non-job related physical or mental disability, or protected veteran status.",4.5,"['OKCoin', '4.5']","San Francisco, CA","San Francisco, CA",501 to 1000 employees,Company - Private,Internet,Information Technology,Unknown / Non-Applicable,False,65,120 ()
2133,Senior Data Analyst : 20,55-101 (),"Job Description
Primary Skills: Epic data, HL7, SQL, SSAS, Python
Duration: 6-12 Months + Possible Extension/Conversion Based on Performance*
Contract Type: W2 Only

Job Description:
Looking for Sr. Data Analyst for the startup company based out of Seattle and was built by doctors and data scientists to help providers and payers intervene earlier, at lower costs. Client's risk prediction platform helps uncover clinical, operational and financial risks by aggregating data from existing sources such as EMR, ADT, Claims and Financial data. They work extensively with hospitals, also have some sort of partnership with Microsoft.
Requirement:
The HM is looking to hire someone who has:
Deep understanding of healthcare data along with experience working with large data sets (SQL, SSAS, Python).
Someone with epic data and HL7 data knowledge within healthcare would be great.
To follow up with any questions, please contact Sagar @ 408-907-7680

Akraya is an award-winning IT staffing firm and the staffing partner of choice for many leading companies across the US. We offer comprehensive benefits including Health Insurance (medical, dental, and vision), Cafeteria Plan (HSA, FSA, and dependent care), 401(k) (enrollment subject to eligibility), and Sick Pay (varies based on city and state laws).

If this position is not quite what you're looking for, visit akraya.com, and submit a copy of your resume. We will get to work finding you a job that is a better fit for one of our many amazing clients.

Akraya is committed to equal treatment and opportunity in all aspects of recruitment, selection, and employment without regard to gender, race, religion, national origin, ethnicity, disability, gender identity/expression, sexual orientation, veteran or military status, or any other category protected under the law. Akraya is an equal opportunity employer; committed to a community of inclusion, and an environment free from discrimination, harassment, and retaliation.",4.6,"['Akraya Inc.', '4.6']","Seattle, WA","Santa Clara, CA",51 to 200 employees,Company - Private,Staffing & Outsourcing,Business Services,$25 to $50 million (USD),False,55,101 ()
2135,Data Analyst Junior,55-101 (),"Job Description
Job description
Interpret data, analyze results using statistical techniques and provide ongoing reports
Develop and implement databases, data collection systems, data analytics and other strategies that optimize statistical efficiency and quality
Acquire data from primary or secondary data sources and maintain databases/data systems
Identify, analyze, and interpret trends or patterns in complex data sets
Filter and “clean” data by reviewing computer reports, printouts, and performance indicators to locate and correct code problems
Work with management to prioritize business and information needs
Locate and define new process improvement opportunities
Requirements
Proven work experience as a data analyst or business data analyst
Technical expertise regarding data models, database design development, data mining, and segmentation techniques
Strong knowledge of and experience with reporting packages (Business Objects etc), databases (SQL, etc), programming (XML, JavaScript, or ETL frameworks)
Knowledge of statistics and experience using statistical packages for analyzing datasets (Excel, SPSS, SAS, etc)
Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracy
Adept at queries, report writing and presenting findings
Master's in Computer Science or Engineering Management or Project Management or Information Systems/Technology (Preferred)
Powered by JazzHR

29h6xcF1ru",5.0,"['Staffigo Technical Services, LLC', '5.0']","Seattle, WA","Woodridge, IL",51 to 200 employees,Company - Private,IT Services,Information Technology,$50 to $100 million (USD),False,55,101 ()
2139,Big Data Quality Analyst/Hadoop Testing analyst/ Hadoop Tester,55-101 (),"Position Big Data Quality AnalystHadoop Testing analyst(Big DataHadoop Tester) Location Seattle, WA Duration 10+ Months middot Hands on testing experience on Hadoop systems and Web Services. middot Hands on experience on accessing files in HDFS, Data fabrication data compares middot Strong working experience on SQL, Joints and ETL middot Knowledge on Java, Test Data and Test methodologies Additional skills middot Experience in High Volume Data Testing middot Knowledge on ETL and Abilities concepts middot Any Experience on Talent Micro Strategy",4.6,"['Resource Informatics Group', '4.6']","Seattle, WA","Irving, TX",1 to 50 employees,Nonprofit Organization,IT Services,Information Technology,$5 to $10 million (USD),False,55,101 ()
2141,Sr MDM Data Analyst (NOT A DEVELOPER),55-101 (),"What are they doing: Building a UI out that district managers can interact with and potentially store managers. They are moving the store data exchange from an old legacy system that is IBM and integrating with other systems. Data is currently coming from multiple places and they are working to consolidate it and have more effective data.

Reason:Currently stores are opening/closing without a lot of notice due to COVID or might only have a drive thru open. This data exchange is going to benefit customers real time updates on store addresses, phone numbers, and open/closed status.

SOFT SKILLS:
Strong influencing skills
Great communication
Ability to work independently from the immediate team to be able to gather requirements
Must be able to handle ambiguity. This is a moving piece with changes coming often
Top 3:
Experience with master data management systems: if they have built a new one bigger bonus
Know their way around querying a database
Dealing with Ambiguity-change directions quickly in this project
Details about work: Define the new terminology and get everyone to agree on this. Pulling together data that has been around for 20 years. Has needs to be cleaned up. Open to non-local candidates. Have a preference towards local.
Retail experience not required. Not necessary for this role. Easy data to get your head around. Common knowledge of design, doesn't have to be an expert.
Need to ask questions of business partners on what they are doing with some of that data.
60-90 day roadmap.ramping them up: sit down with all key players to understand it from everyone's angle. Walk them through the structure. PM is very organized running KanBan board showing everyone what their assignment is. Walk through it a few times a wek with the team. Keeps track of upcoming interviews in discovery mode. Visibility calendar of what is coming up and how it is assigned out. Structured platform",4.5,"['W3Global', '4.5']","Seattle, WA","Frisco, TX",201 to 500 employees,Company - Private,Staffing & Outsourcing,Business Services,$10 to $25 million (USD),False,55,101 ()
